MESSY_DATE,SITE,OZONE,LATITUDE,LONGITUDE,temperature,UNITS
2015-07-06T09:00:00Z,27-017-7417,0,46.713694,-92.511722,64.36,PPM
2015-07-13T04:00:00Z,27-017-7417,-1,46.713694,-92.511722,64.49,PPM
2015-07-13T08:00:00Z,27-017-7417,-2,46.713694,-92.511722,63.23,PPM
2015-07-13T09:00:00Z,27-017-7417,0,46.713694,-92.511722,61.49,PPM
2015-07-13T10:00:00Z,27-017-7417,0,46.713694,-92.511722,61.3,PPM
2015-07-13T18:00:00Z,27-017-7417,0,46.713694,-92.511722,71.22,PPM
2015-07-23T15:00:00Z,27-017-7417,0,46.713694,-92.511722,76.63,PPM
2015-08-17T15:00:00Z,27-017-7417,0,46.713694,-92.511722,64.15,PPM
2015-08-17T19:00:00Z,27-017-7417,0,46.713694,-92.511722,69.84,PPM
2015-08-17T21:00:00Z,27-017-7417,0,46.713694,-92.511722,71.45,PPM
2015-08-18T06:00:00Z,27-017-7417,-1,46.713694,-92.511722,52.8,PPM
2015-08-18T08:00:00Z,27-017-7417,0,46.713694,-92.511722,50.84,PPM
2015-08-18T19:00:00Z,27-017-7417,-1,46.713694,-92.511722,65.5,PPM
2015-08-18T20:00:00Z,27-017-7417,-1,46.713694,-92.511722,63.72,PPM
2015-08-19T07:00:00Z,27-017-7417,-1,46.713694,-92.511722,56.64,PPM
2015-08-19T08:00:00Z,27-017-7417,0,46.713694,-92.511722,56.66,PPM
2015-08-20T05:00:00Z,27-017-7417,0,46.713694,-92.511722,52.44,PPM
2015-08-20T18:00:00Z,27-017-7417,0,46.713694,-92.511722,61.13,PPM
2015-08-21T04:00:00Z,27-017-7417,0,46.713694,-92.511722,52.06,PPM
2015-08-21T05:00:00Z,27-017-7417,-2,46.713694,-92.511722,50.17,PPM
2015-08-21T06:00:00Z,27-017-7417,-3,46.713694,-92.511722,53.19,PPM
2015-08-23T23:00:00Z,27-017-7417,0,46.713694,-92.511722,57.53,PPM
2015-08-24T06:00:00Z,27-017-7417,0,46.713694,-92.511722,52.53,PPM
2015-08-24T10:00:00Z,27-017-7417,-1,46.713694,-92.511722,48.63,PPM
2015-08-24T11:00:00Z,27-017-7417,-1,46.713694,-92.511722,48.57,PPM
2015-08-25T04:00:00Z,27-017-7417,-1,46.713694,-92.511722,52.52,PPM
2015-08-25T21:00:00Z,27-017-7417,0,46.713694,-92.511722,65.76,PPM
2015-08-25T22:00:00Z,27-017-7417,0,46.713694,-92.511722,65.66,PPM
2015-08-26T08:00:00Z,27-017-7417,-1,46.713694,-92.511722,46.34,PPM
