item,units,pounds
Bulkhead,Cubic Yards,321
Hull Panel,Cubic Yards,641
Repulsorlift array,Cubic Yards,467
Starship sensor array,Cubic Yards,637
Acceleration compensator,Items,1.5
Activation cylinder,Items,25
Antishock field,Items,153
Atmospheric processor,Items,467
Atmospheric thrusters,Items,2697
Atomic drive,Items,5001
Attitude thruster,Items,1369
Backup hyperdrive,Items,45
Black box,Items,15
Carbon-Durasteel Armor,Items,4
Dual-drive system,Items,78
Electrotelescope,Items,198
Energy-wave detector,Items,125
Enviro filter,Items,3
Full-spectrum transceiver,Items,457
Hyperdrive,Items,6021
Inertial compensator,Items,687
Ion drive,Items,945
Magnetic turbine,Items,6872
Main drive,Items,789
Microthruster,Items,39
Optical transducer panel,Items,1237
Repulsorlift generator,Items,232
Aural sensor,Tons,NA
Dedicated energy receptor,Tons,NA
Electromagnetic discharge filter,Tons,NA
Flight recorder,Tons,NA
Hyperdrive motivator,Tons,NA
Ion engine,Tons,NA
Landing jet,Tons,NA
Lateral thruster,Tons,NA
Maneuvering jet,Tons,NA
Navigation computer,Tons,NA
Proximity sensor,Tons,NA
Reactant agitator injector,Tons,NA
Retrorocket,Tons,NA
Sublight drive,Tons,NA
Sublight engine,Tons,NA
Turbo injector,Tons,NA
Vitus-Series Attitude Thrusters,Tons,NA
