time,RT,O3,O3 Flow,O3 Press,O3 BP,O3 AT,NO,NOx,NO2,Flow,GasPress,AT,RH%,BP,SR,WS_RAW,WD_RAW,Rain,WD_v,WS_v,AT_F,WS_mph,Sig,RT_F,PM25,QTot,Bam AT,Bam DT,Bam RH,DewPoint,DP_F,WC,Error?,WC
1/1/09 0:00,30.4,1.4,0.49000001,707.7,742.8,33.03,4,11,7,0.610000014,131.76,3.8,92,739.8,2,1.5,114,0,114,1.5,38.8,3.3,9.1,86.8,,0.000,7.9,0.8,45,2.6,36.6,37,low Qtot,
1/1/09 0:15,30.0,1.9,0.49000001,707.7,742.8,32.59,,,,,,3.2,93,739.8,2,1.4,113,0,115,1.4,37.7,3.1,10.1,86.0,,0.000,7.0,121.3,45,2.2,35.9,37,low Qtot,
1/1/09 0:30,30.0,,,,,,4,10,6,0.610000014,131.75,2.6,94,739.8,2,1.6,116,0,116,1.6,36.6,3.7,5.0,85.9,,0.000,6.4,121.3,44,1.7,35.1,34,low Qtot,
1/1/09 0:45,29.0,0.6,0.49000001,707.7,742.7,31.88,11,18,7,0.610000014,131.40,2.4,93,739.6,2,1.7,116,0,115,1.7,36.4,3.8,8.7,84.2,,0.000,5.8,0.8,44,1.5,34.6,34,low Qtot,
1/1/09 1:00,30.0,1.9,0.49000001,707.7,742.8,32.59,,,,,,3.2,93,739.8,2,1.4,113,0,115,1.4,37.7,3.1,10.1,86.0,,0.000,7.0,121.3,45,2.2,35.9,37,low Qtot,
1/1/09 1:15,28.8,,,,,,5,11,6,0.610000014,131.77,-2.2,80,742.3,2,1.5,115,0,115,1.5,28.0,3.3,16.1,83.8,,0.000,1.9,0.8,41,-5.2,22.6,25,low Qtot,
1/1/09 1:30,28.6,2.1,0.5,710.2,745.2,31.17,10,19,8,0.610000014,131.61,-2.4,83,742.2,2,1.4,115,0,116,1.4,27.7,3.1,13.9,83.5,,0.000,1.0,121.5,42,-4.9,23.2,25,low Qtot,
1/1/09 1:45,28.0,2.1,0.5,710.0,744.9,30.49,14,23,9,0.610000014,131.49,-2.6,84,742.0,2,1.2,106,0,114,1.2,27.3,2.7,26.8,82.4,,0.000,0.9,121.5,42,-5.0,23.1,27,low Qtot,
1/1/09 2:00,27.5,1.6,0.5,710.5,745.4,29.86,15,24,9,0.610000014,131.48,-2.6,84,742.4,2,1.2,115,0,116,1.2,27.3,2.8,13.2,81.4,,0.000,0.7,0.8,42,-5.0,23.0,25,low Qtot,
1/1/09 2:15,27.2,1.2,0.5,711.3,746.1,29.50,22,34,12,0.610000014,131.54,-3.1,87,743.2,5,1.6,114,0,116,1.5,26.4,3.6,14.3,81.0,,0.000,0.6,121.4,42,-5.1,22.9,22,low Qtot,
