item,origin,destination,amount,units,price_per_pound
Bulkhead,Cratertown,Raiders,4017,Cubic Yards,1004.83
Starship sensor array,Outskirts,Trade caravan,1249,Cubic Yards,1129.29
Starship sensor array,Outskirts,Niima Outpost,4434,Cubic Yards,1129.29
Hull Panel,Cratertown,Raiders,286,Cubic Yards,843.15
Starship sensor array,Cratertown,Trade caravan,305,Cubic Yards,1129.29
Starship sensor array,Reestki,Raiders,5347,Cubic Yards,1129.29
Repulsorlift array,Cratertown,Niima Outpost,13367,Cubic Yards,629.28
Bulkhead,Outskirts,Niima Outpost,3061,Cubic Yards,1004.83
Bulkhead,Tuanul,Raiders,5221,Cubic Yards,1004.83
Bulkhead,Blowback Town,Niima Outpost,6153,Cubic Yards,1004.83
Bulkhead,Outskirts,Trade caravan,1173,Cubic Yards,1004.83
Repulsorlift array,Tuanul,Trade caravan,1136,Cubic Yards,629.28
Starship sensor array,Cratertown,Trade caravan,1308,Cubic Yards,1129.29
Hull Panel,Blowback Town,Trade caravan,2224,Cubic Yards,843.15
Bulkhead,Outskirts,Raiders,4715,Cubic Yards,1004.83
Repulsorlift array,Cratertown,Raiders,3871,Cubic Yards,629.28
Repulsorlift array,Tuanul,Trade caravan,821,Cubic Yards,629.28
Hull Panel,Blowback Town,Trade caravan,1438,Cubic Yards,843.15
Hull Panel,Reestki,Niima Outpost,6268,Cubic Yards,843.15
Hull Panel,Blowback Town,Raiders,648,Cubic Yards,843.15
Repulsorlift array,Reestki,Niima Outpost,618,Cubic Yards,629.28
Bulkhead,Cratertown,Raiders,3616,Cubic Yards,1004.83
Repulsorlift array,Blowback Town,Trade caravan,2851,Cubic Yards,629.28
Bulkhead,Tuanul,Trade caravan,5044,Cubic Yards,1004.83
Repulsorlift array,Blowback Town,Raiders,2130,Cubic Yards,629.28
Starship sensor array,Tuanul,Raiders,2162,Cubic Yards,1129.29
Hull Panel,Cratertown,Niima Outpost,4743,Cubic Yards,843.15
Bulkhead,Blowback Town,Raiders,4944,Cubic Yards,1004.83
Starship sensor array,Blowback Town,Trade caravan,4236,Cubic Yards,1129.29
Repulsorlift array,Outskirts,Trade caravan,7053,Cubic Yards,629.28
Starship sensor array,Reestki,Niima Outpost,974,Cubic Yards,1129.29
Bulkhead,Reestki,Raiders,10254,Cubic Yards,1004.83
Bulkhead,Reestki,Raiders,1718,Cubic Yards,1004.83
Bulkhead,Cratertown,Niima Outpost,3171,Cubic Yards,1004.83
Starship sensor array,Reestki,Raiders,7748,Cubic Yards,1129.29
Hull Panel,Cratertown,Trade caravan,6303,Cubic Yards,843.15
Bulkhead,Cratertown,Niima Outpost,880,Cubic Yards,1004.83
Repulsorlift array,Reestki,Trade caravan,3945,Cubic Yards,629.28
Repulsorlift array,Reestki,Trade caravan,5196,Cubic Yards,629.28
Hull Panel,Blowback Town,Trade caravan,11340,Cubic Yards,843.15
Hull Panel,Cratertown,Trade caravan,3619,Cubic Yards,843.15
Hull Panel,Cratertown,Trade caravan,8141,Cubic Yards,843.15
Starship sensor array,Tuanul,Niima Outpost,7727,Cubic Yards,1129.29
Repulsorlift array,Tuanul,Trade caravan,1042,Cubic Yards,629.28
Repulsorlift array,Reestki,Raiders,3659,Cubic Yards,629.28
Starship sensor array,Outskirts,Niima Outpost,2292,Cubic Yards,1129.29
Starship sensor array,Reestki,Niima Outpost,1726,Cubic Yards,1129.29
Starship sensor array,Cratertown,Niima Outpost,5534,Cubic Yards,1129.29
Bulkhead,Outskirts,Trade caravan,2185,Cubic Yards,1004.83
Repulsorlift array,Tuanul,Niima Outpost,20175,Cubic Yards,629.28
Starship sensor array,Cratertown,Niima Outpost,1764,Cubic Yards,1129.29
Starship sensor array,Blowback Town,Raiders,2037,Cubic Yards,1129.29
Hull Panel,Outskirts,Raiders,5847,Cubic Yards,843.15
Repulsorlift array,Outskirts,Raiders,157,Cubic Yards,629.28
Starship sensor array,Outskirts,Trade caravan,16924,Cubic Yards,1129.29
Electrotelescope,Outskirts,Trade caravan,8772,Items,849.79
Atmospheric thrusters,Cratertown,Niima Outpost,25197,Items,56.21
Main drive,Blowback Town,Trade caravan,4970,Items,597.85
Atmospheric thrusters,Tuanul,Trade caravan,4689,Items,56.21
Full-spectrum transceiver,Cratertown,Niima Outpost,11677,Items,4041.01
Atomic drive,Blowback Town,Trade caravan,15603,Items,316.5
Magnetic turbine,Reestki,Niima Outpost,9560,Items,31.77
Electrotelescope,Tuanul,Raiders,2271,Items,849.79
Magnetic turbine,Outskirts,Trade caravan,3267,Items,31.77
Backup hyperdrive,Blowback Town,Raiders,677,Items,2726.24
Atmospheric thrusters,Tuanul,Niima Outpost,7683,Items,56.21
Hyperdrive,Cratertown,Trade caravan,2031,Items,965.87
Hyperdrive,Reestki,Raiders,1218,Items,965.87
Attitude thruster,Outskirts,Niima Outpost,546,Items,314.23
Dual-drive system,Outskirts,Trade caravan,1231,Items,377.12
Antishock field,Cratertown,Niima Outpost,4686,Items,1329.05
Microthruster,Tuanul,Trade caravan,10015,Items,506.62
Attitude thruster,Cratertown,Niima Outpost,2103,Items,314.23
Ion drive,Reestki,Raiders,625,Items,1168.53
Enviro filter,Cratertown,Raiders,493,Items,478.76
Magnetic turbine,Tuanul,Trade caravan,5388,Items,31.77
Dual-drive system,Cratertown,Raiders,3158,Items,377.12
Black box,Tuanul,Trade caravan,263,Items,29.15
Energy-wave detector,Tuanul,Niima Outpost,10053,Items,1563.2
Attitude thruster,Reestki,Trade caravan,2706,Items,314.23
Atmospheric thrusters,Outskirts,Niima Outpost,2334,Items,56.21
