SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-04-01,4,13,27.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,01
27-137-7001,2016-04-02,3,12,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,02
27-137-7001,2016-04-03,5,11,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,4,03
27-137-7001,2016-04-04,0,10,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,04
27-137-7001,2016-04-05,2,20,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,05
27-137-7001,2016-04-06,4,18,47,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,06
27-137-7001,2016-04-07,3,19,50.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,07
27-137-7001,2016-04-08,1,11,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,08
27-137-7001,2016-04-09,1,11,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,09
27-137-7001,2016-04-10,2,14,48.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,10
27-137-7001,2016-04-11,4,54,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,11
27-137-7001,2016-04-12,0,12,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,12
27-137-7001,2016-04-13,1,10,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,13
27-137-7001,2016-04-14,5,8,29,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,4,14
27-137-7001,2016-04-15,1,10,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,15
27-137-7001,2016-04-16,1,9,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,16
27-137-7001,2016-04-17,1,10,36.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,17
27-137-7001,2016-04-18,0,11,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,18
27-137-7001,2016-04-19,5,18,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,4,19
27-137-7001,2016-04-20,0,20,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,20
27-137-7001,2016-04-21,4,14,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,21
27-137-7001,2016-04-22,3,12,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,22
27-137-7001,2016-04-23,0,11,50,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,23
27-137-7001,2016-04-24,2,13,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,24
27-137-7001,2016-04-25,0,9,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,25
27-137-7001,2016-04-26,0,8,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,26
27-137-7001,2016-04-27,2,8,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,27
27-137-7001,2016-04-28,3,11,38,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,28
27-137-7001,2016-04-29,4,10,38.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,29
27-137-7001,2016-04-30,0,8,38.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,30
27-137-7001,2016-05-01,6,7,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,5,01
27-137-7001,2016-05-02,0,11,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,02
27-137-7001,2016-05-03,0,11,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,03
27-137-7001,2016-05-04,5,11,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,04
27-137-7001,2016-05-05,3,8,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,05
27-137-7001,2016-05-06,3,12,46.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,06
27-137-7001,2016-05-07,2,10,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,07
27-137-7001,2016-05-08,3,19,44,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,08
27-137-7001,2016-05-09,0,13,44,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,09
27-137-7001,2016-05-10,0,12,59,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,10
27-137-7001,2016-05-11,17,7,53,27,137,7001,47.523355,-92.536305,1899-12-31T17:00:00Z,88101,2016,5,11
27-137-7001,2016-05-12,6,11,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,5,12
27-137-7001,2016-05-13,3,8,53,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,13
27-137-7001,2016-05-14,3,10,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,14
27-137-7001,2016-05-15,2,6,41,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,15
27-137-7001,2016-05-16,1,9,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,16
27-137-7001,2016-05-17,1,18,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,17
27-137-7001,2016-05-18,3,22,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,18
27-137-7001,2016-05-19,1,14,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,19
27-137-7001,2016-05-20,7,12,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,5,20
27-137-7001,2016-05-21,4,11,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,21
