SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-04-01,2,10,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,01
27-137-7001,2016-04-02,6,13,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,02
27-137-7001,2016-04-03,0,16,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,03
27-137-7001,2016-04-04,2,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,04
27-137-7001,2016-04-05,1,16,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,05
27-137-7001,2016-04-06,2,17,50,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,06
27-137-7001,2016-04-07,0,20,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,07
27-137-7001,2016-04-08,0,8,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,08
27-137-7001,2016-04-09,0,14,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,09
27-137-7001,2016-04-10,1,17,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,10
27-137-7001,2016-04-11,2,17,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,11
27-137-7001,2016-04-12,0,12,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,12
27-137-7001,2016-04-13,0,11,38.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,13
27-137-7001,2016-04-14,1,7,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,14
27-137-7001,2016-04-15,8,12,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,4,15
27-137-7001,2016-04-16,1,12,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,16
27-137-7001,2016-04-17,1,11,36.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,17
27-137-7001,2016-04-18,0,12,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,18
27-137-7001,2016-04-19,2,18,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,19
27-137-7001,2016-04-20,2,22,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,20
27-137-7001,2016-04-21,3,12,57.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,21
27-137-7001,2016-04-22,6,11,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,22
27-137-7001,2016-04-23,2,15,45.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,23
27-137-7001,2016-04-24,2,9,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,24
27-137-7001,2016-04-25,1,9,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,25
27-137-7001,2016-04-26,4,9,35,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,26
27-137-7001,2016-04-27,1,9,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,27
27-137-7001,2016-04-28,3,11,36.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,28
27-137-7001,2016-04-29,1,10,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,29
27-137-7001,2016-04-30,1,7,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,30
27-137-7001,2016-05-01,4,7,44,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,01
27-137-7001,2016-05-02,2,8,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,02
27-137-7001,2016-05-03,1,10,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,03
27-137-7001,2016-05-04,3,12,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,04
27-137-7001,2016-05-05,1,9,47,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,05
27-137-7001,2016-05-06,0,12,46.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,06
27-137-7001,2016-05-07,0,9,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,07
27-137-7001,2016-05-08,1,19,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,08
27-137-7001,2016-05-09,3,12,44,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,09
27-137-7001,2016-05-10,7,11,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,5,10
27-137-7001,2016-05-11,18,7,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T18:00:00Z,88101,2016,5,11
